,artist,song_name,spotify_track_id
244,Jon Pardi,Night Shift,0bPnT6i9H1p8Vd85GS6Z7I
245,Khalid,Location,152lZdxL1OR0ZMW6KquMif
246,Avicii,The Nights,0ct6r3EGTcMLPtrXHDvVjc
247,Fitz and The Tantrums,Out of My League,2AYEOC02WLhUiOoaig2SEH
248,Panic! At The Disco,High Hopes,1rqqCSm0Qe4I9rUvWncaom
249,Daniel Caesar,Best Part (feat. H.E.R.),1RMJOxR6GRPsBHL8qeC2ux
252,Justine Skye,Collide (feat. Tyga),22I3h5AOENlH4CqXJsEbFR
260,Katy Perry,Cozy Little Christmas,02FaKXXL7KUtRc7K0k54tL
261,Big Sean,Beware,6bxUnsSGZCmoHHU5auwtps
262,Russ,Losin Control,4cxMGhkinTocPSVVKWIw0d
263,XXXTENTACION,I Don't Wanna Do This Anymore,5de9Ho64dovuQI8Uhn5gPD
264,Mitski,First Love/Late Spring,3sslYZcFKtUvIEWN9lADgr
265,Marshmello,Happier,2dpaYNEQHiRxtZbfNsse99
266,Luke Bryan,Play It Again,03fT3OHB9KyMtGMt2zwqCT
267,Kali Uchis,Dead To Me,6LOZws7T3jqZz78unPgFF9
268,Chase Atlantic,Friends,2jQiSYrwJehQAcuaaQrXnS
269,Louis Armstrong,Cool Yule,2QWKbE6GpWhRtlbRwcP7g8
270,Bryson Tiller,Right My Wrongs,5rgrBsAFYMun6yhtnLKRPz
271,Nitty Gritty Dirt Band,Fishing In The Dark,3i5QyEUyXa9Y7lIklr5sWk
272,Brett Young,In Case You Didn't Know,10M2Ex445zw585Ducldzkw
273,Jon Pardi,Head Over Boots,4ly1QBXEwYoDmje9rmEgC4
274,Mark Ronson,Uptown Funk (feat. Bruno Mars),32OlwWuMpZ6b0aN2RZOeMS
275,Kay Starr,(Everybody's Waitin' For) The Man With The Bag,7azp0ySqPkkXHi9M9aeg3T
276,Leona Lewis,One More Sleep,78pn8k7RogKo2oxl0DyX6d
277,The Living Tombstone,My Ordinary Life,6tMdpUXfT70TD6Eh3XfB1p
278,Lana Del Rey,West Coast,5Y6nVaayzitvsD5F7nr3DV
279,Alec Benjamin,Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d
280,Drake,Nonstop,0TlLq3lA83rQOYtrqBqSct
281,Summer Walker,Deep,3LfHBTYZBTqmz43tvVXJBd
282,salvia palth,i was all over her,7svpAkwc6xaSxlbZ7V7JiS
283,Juice WRLD,Hurt Me,3XRQT7EoS4U87rUuJwg5P3
284,Post Malone,Go Flex,5yuShbu70mtHXY0yLzCQLQ
285,Tyler Childers,Nose On The Grindstone (OurVinyl Sessions),4a2uqVlpRChHj32EjJLu7G
286,Drake,Feel No Ways,3cjF2OFRmip8spwZYQRKxP
287,Cody Johnson,Me and My Kind,4rW9EUFaMSNVY8JhbqrB6z
288,Måneskin,Beggin',3Wrjm47oTz2sjIgck11l5e
289,Travis Scott,5% TINT,11kDth1aKUEUMq9r1pqyds
290,Phoebe Bridgers,Motion Sickness,5xo8RrjJ9CVNrtRg2S3B1R
291,A$AP Rocky,Sundress,2aPTvyE09vUCRwVvj0I8WK
292,SZA,Normal Girl,5fQBa4wkmq28xpSLOQ202K
293,Taylor Swift,Delicate,6NFyWDv5CjfwuzoCkw47Xf
294,J. Cole,Kevin’s Heart,6tZ3b7ik1QDXFAZlXib0YZ
295,Capital Cities,Safe And Sound,6Z8R6UsFuGXGtiIxiD8ISb
296,Still Woozy,Goodie Bag,4vHNeBWDQpVCmGbaccrRzi
297,Post Malone,White Iverson,6eT7xZZlB2mwyzJ2sUKG6w
298,Fall Out Boy,Centuries,04aAxqtGp5pv12UXAg4pkq
299,Cage The Elephant,Come a Little Closer,4sebUbjqbcgDSwG6PbSGI0
300,Ski Mask The Slump God,Unbothered,5hwUsRKvnO5yThjVrxHQVt
301,Cavetown,Devil Town,0vf2eBw2inhl8y61cYQMv2
302,Ariana Grande,One Last Time,7xoUc6faLbCqZO6fQEYprd
303,Young Money,Trophies,6HfOzLLjsaXsehIFEsrxTk
304,Polo G,Neva Cared,3UnYMo1aeD0o8VtHy3R8cs
305,Jessie J,Man With The Bag,2Ysi49tRdVH74d1Cnc4o94
306,Summer Walker,Karma,2Fyjjpg03fn7n5cj0Qm380
307,Pentatonix,"Mary, Did You Know?",4z8sz6E4YyFuEkv5o7IJni
308,XXXTENTACION,the remedy for a broken heart (why am I so in love),4UKCKdYiLN6IMA5ZESUTL7
309,Jon Pardi,Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD
310,The Weeknd,I Feel It Coming,3dhjNA0jGA8vHBQ1VdD6vV
311,Twenty One Pilots,Ride,2Z8WuEywRWYTKe1NybPQEW
312,Shawn Mendes,Stitches,5jsw9uXEGuKyJzs0boZ1bT
313,Big Sean,I Don't Fuck With You,7FYH5AW3bVfZHJIQpq3UOA
314,Lil Baby,Ready (feat. Gunna),4F6yN5FsFW10Ucx7cLCzBh
315,Zedd,The Middle,09IStsImFySgyp0pIQdqAc
316,Drake,"Hold On, We're Going Home",2aSC2xhRxOLiiZZVjhbylH
317,French Montana,Unforgettable,3B54sVLJ402zGa6Xm4YGNe
318,Travis Scott,BUTTERFLY EFFECT,2cYqizR4lgvp4Qu6IQ3qGN
319,Freddie Dredd,GTG,46M2hXnaQpueG7vSvgVtVH
320,Kodak Black,Transportin',1WIZiOuNO3woKfdlSK2gNn
321,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z
322,Cigarettes After Sex,Sweet,3VSYkAf6f46i5ZkXOHORq1
323,Juice WRLD,Hide (feat. Seezyn),6rz0dTA0PdhXImFV5EjM0w
324,Big Sean,I Know,6rje9f1wRFJDO2iTORw0lH
325,The Chainsmokers,Something Just Like This,6RUKPb4LETWmmr3iAEQktW
326,Gunna,Drip or Drown,6ZthdsKjWtiCxnxbhs74vF
327,Billie Eilish,idontwannabeyouanymore,41zXlQxzTi6cGAjpOXyLYH
328,Colter Wall,Sleeping on the Blacktop,3Ozx6IrGdoQyAworJzvBDE
329,Arctic Monkeys,R U Mine?,2AT8iROs4FQueDv2c8q2KE
330,Adele,Love In The Dark,7B5Npv8NjjTCzk8PLpU66h
331,Paloma Faith,Only Love Can Hurt Like This,62ke5zFUJN6RvtXZgVH0F8
332,Marshmello,Silence,7vGuf3Y35N4wmASOKLUVVU
333,XXXTENTACION,YuNg BrAtZ,2ooF4088y5L72c4YTEJQoB
334,A Boogie Wit da Hoodie,Look Back at It,3Ol2xnObFdKV9pmRD2t9x8
335,Rihanna,Woo,3HQcsqRjRdruUjkbDSgmVF
336,Mitski,Francis Forever,5411TEB6tlzvuF5A4oyldr
337,Fetty Wap,Trap Queen,2d8JP84HNLKhmd6IYOoupQ
338,Mac Miller,Congratulations (feat. Bilal),1OubIZ0ARYCUq5kceYUQiO
339,Daniel Caesar,Japanese Denim,1boXOL0ua7N2iCOUVI1p9F
340,Metro Boomin,Overdue (with Travis Scott),6LyAwkJsHlW7RQ8S1cYAtM
341,Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3
342,Playboi Carti,Long Time - Intro,4IO2X2YoXoUMv0M2rwomLC
343,Juice WRLD,Black & White,1fCeXjoRExPP2qwSBh2aST
344,The Paper Kites,Bloom - Bonus Track,1HMQmOWrkieKYWlFsjUP3D
345,Jason Aldean,You Make It Easy,6EGAfJaLUFzhS4zRBIEQ2J
346,03 Greedo,Substance,0MoQI1EZGSHLhd5UBdxPol
347,Alec Benjamin,Water Fountain,4IhKLu7Vk3j2TLmnFPl6To
348,Brett Eldredge,"Baby, It's Cold Outside (feat. Meghan Trainor)",5Q2P43CJra0uRAogjHyJDK
349,Bring Me The Horizon,Can You Feel My Heart,0WSa1sucoNRcEeULlZVQXj
350,Tee Grizzley,First Day Out,3muBQDekYAg7jm6hDu6R0Z
351,Tory Lanez,Say It,2Gyc6e2cLxA5hoX1NOvYnU
